* Log file for the circuit /home/frathoso/Dropbox/ASpring_2014/Capstone/atpg/benchmarks/s5378.bench.
test   29: 1100000101000011110001100000101100101111101110101100100011111111100000110100110011101111010001010010000011001011100101111101011001000001100110010011100011011000110100110100010000010100001001100100000111010110011110 100011101111111100100011101100010001100110011111110010001011010000111111010011011110100000101101100011001110000000000100100000000011101110101111100011100111101011100100100111100101000001110110100101111010101010111001000000000000   33 faults detected
test   30: 0101110011001101101001110110000110111101101101000011110011010101110110100010010011010110010001110011110001011011010100001011011001000111011101101001011110011101010011110011110110100110111001010000001001011111000011 010011111111001111111101100000000001111110000111101100110010011100011110011100000000000110011010000001000000000000000000100000000000000000000110100001000110000001100100100110100110010101010100101101100010101011111001000000000000   14 faults detected
test   31: 1111011100110111011101100000100010011101010110110100110111001010100100110110001111011110111000001010100111010011011110001101011110110010000010001110000000000000011101000101011111000000100000001110101001011001110100 011011111011000100111011000000000000011111011101110111011111110110111101110111111011100101110011000001000110000000000000000000000000111111100111100011100110101110110001001011000001001001010000001110101111000001010011000100000000   15 faults detected
test   32: 1111111001010100000111001011101011110000111100100110011111010001001100101111000011001011011100011101100011111011000011001110001010110010011100000100011101011001010000100000111101100000000011111011011001000100100100 001011111111101111011011000000000001111001000001101101110111110101100001110101111001110111010010100010001000000000000010100000000000111101110111100011100010011110000001000011000111000001110000001010111111001010001011000000000000   10 faults detected
test   33: 0010100001101101000100011010101111010000111001110010100000001001110110001111010000011010000000111001100010110000111001000100000011110000111111001110010000001001010101100101111110101110110010011111001101101010001011 001011111111111000111011000000000000011110100011101000100000100000100110100011111001011010010000000000001110000000000010100000000000111101010111100011100010011100100101001011010101000001010000101100000111011011111101000000000000   13 faults detected
test   34: 0010010100100010101101100100011101101111011001010100101110110111011010011010110010100010000101101100111111010110000100000110001001010110101010001011000110011000000100010011100100010110110001110110000111110111110000 010111111111000001111001000000000001100111010101110110011010100010100100100010010010101100101100000001001100000000000000000000000000001010100111100011000100110000010000000010000101001001010100000001100111111011101001000100000000    4 faults detected
test   35: 1100101001011101001110111100010011010001101101001101110100100011000111110010001100100101100101100100000111110100010011111010111010010001000110001110010111001000010011011011010101011011010011110101000010101001011101 010110111011001111000111000000000000011101011101101001100111010000000101010000000000000011001110100000101100000000000000000000000010000000001111100001000111111001010000001011000110001001010100010011010110010100100110100100000000    6 faults detected
test   36: 1110001100010000010001110010111011100001111000000101111111110010011001100001110000011110000110101101110111001001101101101101100100100110100010101011100001110110111001110101010011100011011010010010101000011100110101 000011101111111110010101111110001000000111011111110011001101110000000001110001111110000001111010100011000110000000000000000000000011111110000110100011000110010100010001000010100011010001011110001110110011111011101101100010000000   26 faults detected
test   37: 1000000011100001111100010110010000111011001001011101000000110111111100011111110011000100101000101111110101111111000100110000010101110010100001100010111001110100100111110111001000111011110101001011010100111101110010 110000111111010110001011000000000001100010011101100000000001001010000111001000000000000000010101100010001010000000000000000000000000000000001110100011100110000100010001000011000100010001010011000110000101101101011001100000000000   10 faults detected
test   38: 0000000111001111001010101111101110010100110001011101101110110100111111100011110110110111100010011001100101110001011101000010101101010110100110001101011111100111010010111010011110010110010000100001001011101001001011 010111111011101010100001000000000000011110011101110010001010001000011100001001001111111000101011000010101110000000000000000000000011100111111111100011100110011110100100001010010110000001110000100101110111111000110000000100000000    8 faults detected
test   39: 0001001011001100100001000011001101111011001111111010101101000001110100110111011100001100110010000100010111011101110000110001010101101101000010001010010101111111000100110011100111000000010101001000111101110010110001 010010111011111111111100100000000000011010010101110001000100001100100100001101000011010001010001000011100000000000000000000000000000100011010110100001100111110111010001000000100101000001010100001010110100110101110101000100000000    7 faults detected
test   40: 0000010100110101111111010011001100000011011110111101001010010000001011001100111111110100011001000010010001001110111001110000101011010100110001000001110010001000011000100010010010001010000000110011100000000101111101 111010111011110001011001000000000000000000011111110110011000000010000110000010111110011100111110100010000100000000000100111111111101111111110111100011100111100011110100101010010011000001110110101111011111000111010001100000000000   37 faults detected
test   41: 0101010001101100100110101001010111010001110010110100010001001100001001010111010100011110111010011000110011111010011111000100011101010101101100010010111100110010110111001110101000001101001000111010001011100100111010 111001111101000010001001000000000000011100010111100100010010010110100110010100000000001100000010100011001110000000000100100000000000000000001111100011000110110110100101000010010100001001110010101001011010111001010100000000000000   14 faults detected
test   42: 0010101001010101111010110000011100100000111010111111010100101001000110011101001101000111111111011001011101000010111001000101011010100011110010001001101101101111101111100101011110001100111010010010000110011100110010 011011111001100110011111100000000001100110111101111001100110100010000100100001101110010011001100100011001111111000000101000000000001110110010101010001100101010010101101001011110000010001010000101100000010000000000111100100000000   15 faults detected
test   43: 0101100101000110001101010100110010101001111010111110011011100111100001110100101010001001101010110010001001011010001100000011110011010010111101010101000011100100110101101111010000101000101100011011101011010101111010 111011011111100001110111000000000000000010011101111010101010010110100010010110010011011010100010000010000100000000000100100000000010001011010110100001100101101101100100001011010101010001010111101111001001010100011010000000000000    5 faults detected
test   44: 1010101110011010001111110000110111110110000101101100101111101010001110010001101001100100110000011101100110010000110111100111010011101001011011111011111101100100101000100010001100111111000011000110001110010000100010 001001101111000100111010100000000001100111011010111011101111101010100101101011101110010011101001000001001111001010000010000000000001110110010101111111000010011110000001001001100011000001110000000000011110000101111111100000000000    8 faults detected
test   45: 0000000111111010100101000100100111111101100100101101000110010111000100010111011001100001111001010100011111110011011101010001001011010111110001010111011110010000111101000000110000110101100100100110011001011110111011 111011111111000001101001000000000000000110000111110010001010001010000100001010000110001000110100000001001000000000000101000000000001000010001111100011000101110011000100100110000001001001110111100001101100000100011101000000000000    6 faults detected
test   46: 1010001000110111110011000101110000011010001000010101001100101100111111011000010011111001110000100111100111001010001111101101001110111111001101110010011001110001010111011011010111100000110101100110100011000000001101 110111111111000000001000010010110100011011011100100001000111100010000101100011101000001001001111100001000110000000000000000000000000110100001110100011100110001101010001000000000100001001010100001110100100001100111000000000000000   25 faults detected
test   47: 1100001000101101100010100111101100001100000100010100101011110010101010111001000001111100011110100111011110100010000011010100001000111001100010001110100010001100001101101101110001110000111100000010100000110000110010 011011111111000001100110011010110101111100000101110001000111010010111111010011011011011001011111000011000100000000000000000000000010101111011111100001000101000101010000001001000001000001010110000110100000101111001110100100000000    8 faults detected
test   48: 1111001101001010010101110011010000111100110100110111101100111100110100100000101111011110101101111000010011011110001001101000010100001110110101001010110011111111111001010010101000100110100010001110010000000100010101 010100111101001110010000100000000001100100010111100011001111110100011101110100000000000001110111100001001010000000000111100000000010000000000111100011000111110000100100100000110011011001110011101101101111100001000011100000000000    1 faults detected
test   49: 1001001110000111101001010011110000101100000010011110000001011100011101000011011100001001110110101111111111101011100010001011010111100100011110011110100010010011000000010101101100001000111010011011100100000000010011 000111011111110110011001100000000001100111010011110011001101001110100111001101001111000001110100100010000110111011100100000000000001100111000111111010000000000100010000000010100111011001010000011110000011010100100101100000000000   16 faults detected
test   50: 1001111001111011000101111010110100101110111111101111001100100111100110111011100010110100001100111111010100001011000110111001010010000000000011100001000000011000001100110001010100111001010001000111111110010011110000 100011111111011101101011100000000000000111011111101101110101000101000101000111001001110111001001000000000000000000000000100000000000100101111110100011000111000100000001000011100001000001010100000111010111011111001011100000010000    9 faults detected
test   51: 1101111111100111010001010100100100111111010001000011101100110101101111011100101101101001001011101100000111100011111010101101011101111010101001111111000111100100010110110100010011111010101111000110100111101111011101 010111101011001000000110000000000001100001011101111111111111011100011101011111011111111111101101100001000110000000000000000000000011101111111111100001100111111000010000001001000100000001110110000010001001100110010111000000000000   12 faults detected
test   52: 1100011010100101101101010011010000111100100100101111110100101011100110010111001000011111111111110001111011010111111101111100011000111000011100110101100010010010111001101011111110111000100100001100000111100110100000 111001111101000010111110000000000000011010000010100101010111011010011101011000000000001101001100000001101110111010111101100000000000000000000100010100100000010001100100100101000011010001010000100110001101110000001110000000000000    8 faults detected
test   53: 0011100001100000001010000100110110100110111101011110010000100011010001110010111010011010010110110101111111011101001001010001000111011111001011101100000101010001001111100110111000011000111111101010100110111001100110 001011111111001000000100000000000001111100000101101000100010100101100110100110100001011010000101100011000111111111000000000000000010010001011111011100000100010101000001000000000000000001110011000011000000010011101001100000000001   15 faults detected
test   54: 0111100100000000000100101101111001101100011110010011111111111011011110011101010001111111000101101010010001000111000100001110100111011111111101000010001111110100010010100110111010000001101011101110010011000100000111 111011111111011111111100000000000000011100000111111010101000110100000000110100110011010010100111000001001000000000000101111111111101111111110111100001000111100000110100100000010110000001100010101111101010001010101101000000000000    4 faults detected
test   55: 1011110011110011101000011010110100010010011100111100111110101000000010000010010001001100010000100000011000100011011100001101010010101011101000010101111011011110100111011100100110100000101111101010011101000000111011 110111111101110000010010100000000000011100010111101100110001101110111001101111100101111110010001100011001010000000000100100000000011110001110111100011000101110101110100100001110100001001110100101110101000001111111100000000000000    4 faults detected
test   56: 1011010100111011110010001111011101101010110010110110101111001101100001100110000010000010110010101011000011100000011111010011010010100010110011100001101010110010110000001110111000001100111011001000010010010101010100 101011111111100100000111100000000000000010000101110110011011100110100101100110111111100100100111100011101011111000000100100000000011011111101100010101100111001100111100000011110111011001110010111100000011011001111010100000010000    4 faults detected
test   57: 1100101000111110010100110110110011000011110000010000000001100010111000101001011101111010000100100111110101110010010110111100011110110000111111110110001001101010110100110101110000100101000100111100111100101111110111 100111111101010111001011000000000000000110000100101001100101010010100111010001011000010011010000100001100000000000000100000000000000101100011110100011100110000101010101001011010101000001010110101100111101000011100101100000000000    1 faults detected
test   58: 0011011100110100100001011000111111010101010110100011001000011001010110011001010110101110010111100110110010010001110000011001100110000001110100001011001111010110101011110011100110011010000111011001000111100111101001 100111101111111011111111100000000001111001010111110111011100100110000110100100111011111101101001001100100110000000000100100000000000011111110111100011100110100001010000000011100010000001010100000011011100011011100001000001000000   35 faults detected
test   59: 0111101000100111100011010011011000011010110001111101010111101110010111010000000001101101001111101010011101010011111000000100001111110110011010111111101110110110110110001110000110000101100000101010011001110000001001 001001101101110010001101000000000000011110011110111001100100110110000100110100011010111011010011100011001010000000000000000000000000001110111111100001000101100000110100000010010100001011110100101100101111001110001110000000000000    3 faults detected
test   60: 1110111110101110111001000100110100110110010100111100101010010010010001111110100101000011011111010111111010011010011101101000010011101110001101000000101111011001111011001111101111100011010001100110010100111010110111 111011011011001100011100100000000000011101010111111111111111111000111111111011111110110111111101100001001010000000000000100000000001111110110111100001000100000011000000000000100010001001010000001010110111001010000110100000000000    5 faults detected
test   61: 0000110100011101100110011000101100001111101111000000000000011110101100111001101110100100010110110011011101111110100010110010011100010100001011110110001110111110110000011100100100001111100110000111001101111100010110 100111011101001000010001000000000001100000010110111110111010000000100110000010101011111110111001100001101110000000000000000000000010010111110111100011100101000101100100100110000111001001110100111101001101110111100010000000000000    6 faults detected
test   62: 1001001110110101000111100011100100001001011000110000101100010010010110100101010010011110100110110001001101101010111000000111111001000111011011001001101010010101111001110111101111000101111111000100110001110011010011 000011111011001101100101100000000000011110010111110011001111001100111101001111001111000001111111000001100000000000000000000000000011100111001111100001000101011101100000010010100011000001010000001101100000111001101001000000000000    3 faults detected
test   63: 0011100000010000100011001111000001010000000010100110111001100100110101101001101101100101010100010110101110001001001110000001011000001111011110101100011010100111010111010010010011000101110011000011100001110110111111 000111111111011001011000100000000000000111011011101000100000100100100010100110000000001010011111100010000100000000000000000000000000000000000111100011100000101111000000001000100100001001110110001101100110100110100111000010000000    2 faults detected
test   64: 0101111000001101001111001110011010011101000110001100110010001110001011000110011000100001010100010011011110111000101101001101110010101101110010001111011111010010110111110000110001111110010100111111010010110011110100 010011001111110000110100100000000001111100000101101101110100010110111110010110001001011111000110000000001010000000000000000000000010000101010111100001000101000111100000000000100100000001110110000000010100010110101101100100000000    8 faults detected
test   65: 1011110011000110100011110101101011101010110100110110000110101111110010100000101101011100100001000110011110110100101100110100111111100011111010001001011011111110111100111010001111011000011010111111110011111000111100 010010111111101001100111100000000000000010011001111100110011101100100101101111100111111110000110000000000001101100000000000000000011110011111110010101100001100011010000000011100001000001110000000110010010000101110110000100000000    9 faults detected
test   66: 0010100000011001101111011100101000011100100111010001001001011001110100011111110101011011010111011100001101011101010100100101010011111010001110001100010001100000001000100111110101101100001111000111110111110000011101 011010111011001001011110000000000000011110000101111000100010100000000110100010101011011010001101100000000000000000000000000000000000010111010110100001000101111010000001001001000011000001010100001000011001001010100101000000000000    6 faults detected
test   67: 1101000100101000111011110001100001100011011011110111001100001110000100111110101101011001010000010111001110101100111001011011000001000010101110100000001110110110110000001100110111001010000000100100000011001101101001 101010011111011011100011100000000001100101000111110010001001010100000101010101010011001000101111000001101100000000000000000000000010101011001111100011000101001111000000000011100111001001110100011011011111100110110110000000000000    7 faults detected
test   68: 0001100011011000000110101000111101001001110110000111010010100000000000111010111111011011000111001011101101011101000111000100101000101010111010001010001010011001111001000111000000111110111101110001011111011010011101 011011111111101100000010100000000000011000011111101000100010001100000110001111100101010010001000100010101010000000000100000000000011110001011111100011100100001010110100100001110011001001010110100100000001100010100001000100000000    6 faults detected
test   69: 1101100011001101011001101101100100010100010111111010100101010011111000001001111111110000001011111101101010010010001011100010001010110001010010001101000010000010000110100100001110101001100100010011000111000101010100 011011111111001101000011000000000001100001011101101000100011011100111101011111010101010010001100100010001100000000000000100000000011101001011111100011100100011000000000001011000100000001110000001110001100000111010001000100000000    2 faults detected
test   70: 0000001110010101010001011010100111110111100101110000101100100110101110110110011011100011101110001000001010010110111011100010101010000100011010111101011000001011111111111001010011110000111011011101011000000001000010 100110111001110100111101100000000000000101011011110011001100001010100100001010001110000001110010000000101010000000000000100000000001000110000111100001000001111110110001001010100000010011010110000111100011000000001000100000000000    5 faults detected
test   71: 0101110100110001000111101010000010001101110111001010110011001101010110110100010111110101001000110011110101011011011011111010100001100110001110001110000011101010010011000100110111011110111000011000101111110000110001 011011011111110111011001100000000001111001000101101110111000010110111110010100000000000110100000100011100100000000000000000000000000000000000111100011100110000101100000001010100110001001110100010100000011101110010001000100000000    4 faults detected
test   72: 1101010100100100111100101010110011001001111001110000100010010110000011100011111010101101101001101110110011101011000110110100110110010100000000001101000100111001010110101111101001100110111000111000111100100000100111 101011011111001010101001000000000000011111010101110110011011010100100111010101010011101100110000000011100010000000000000100000000000101011101110100011000110100000010001000010000100000001010010001001100011010100011000100001000000    1 faults detected
test   73: 1100111001110010110000010001110101000000000100010110010111111110001010011110100111100110000000101011100110001010110110100010100111101010101011101111011111100000011100001000100010100011000011010010110000011101100011 001011001011110001100010100000000000000111010101101101110101010010100101010011011000111111011110000011000000000000000100000000000010101100111110100011000110001100110010001001100001001001110110001010111111001011110010100000000000    3 faults detected
test   74: 0101001100110010011011000000000001000011111011101000101110100000100000111101011101101000001010100111100010011110100101000000000100101100011111011101101111000001000101000001001100010111011000011100111110001101100011 001001011111011001101100100000000000000100011011100011001100010100100100010110000000001001100000000001100000000000000000100000000000000000001111100001000010001101010100001000110101001001010000100000110011100111010101100000001000    5 faults detected
test   75: 1010011011110001101011101110010100111010000110101111110101011001101111011000101010110000000111001011001101000110111001110001011001100100100110001011010011011110111001111100011110011111010101001000110101001001011011 010110101101011001000001100000000000011101011111100101010101101000011101101010000000001101010101100011100000000000000101000000000010000000001111100011000101001010110000000010100011010001110000000100010101110111101010000100000000    6 faults detected
test   76: 1001011001111011101110111001100101000100110001101000100010010001100000000101111101111001101110110110111010011010010100001010001111011001010110111001101110110011011011000100010000101110100111101001111000101011101111 001001111011100111010010000000000001111110011110100101010111000110100111000101001001100101010011100010100000000000000000100000000010100101100111100011000100100101000100000001010010001011110110101001001100000100000101100000100000    3 faults detected
test   77: 1001011010110011010100011111001011001011011111001000110100111000110101001110100000110010111110000110010110011101110011101000011111010111011011010100101111101100010001111101000100011001111100011101000100111101111001 100001111011110111011001000000000001100100011011100101010101001110100101001100111100100101010100100000101100000000000000000000000001011100100111100011000011100111010100101010010111000001010100100011000000011001001110100000000000    4 faults detected
test   78: 0101101010011100101101011011000111101000111001001110101100101001010010101000001001011101001110011101001011110011100110010111001100000110100100110001011001101000101011011101010101101000000001101111010011000011001001 110111111111111101110101100000000000011111011110101001100100011100100100011110000000000011000111000000001000000000000000100000000010000000000110100001100101011110000001001010100010011001010101001111011111100110001110000000000000    1 faults detected
test   79: 0010110000010001001101111000100011110110010010110010101001010001100110001000010010111101010101010111001011010011000110001000111011000001101110101011100100010000011111111111001000001101100001010011011010110000011000 000001111111000111101011100000000000000000011111101100110010100010100110100000100000110110001010000010001001011011100100100000000000010000111101111010100101001011000001000011100000000001010011001001001110011110101000100010000000    2 faults detected
test   80: 1101011111111100000011111101100100101101001001010110100110010001001000000111111111100100111011100100111011111010101101010001010001111111100011100011100011101101100001011110000001010111100101010000011101101110101001 100101101111011111011000000000000001111011011101110111011101011100111101011101011111100101111000100011101000000000000000100000000001101111100110100011100100110001010000001000000111011001110111010100101100100101010000000000010000    2 faults detected
test   81: 1101010010000110100000110000111000100110111100011001010100010101100010001000100010011011101000110101001111101001000010101100010100101000001110001111101101000100110000110011010110000111100100000100100000011000011001 010011011111101011111110111010101000011111011101110100010011011101000101011101010111111100011111000001100100000000000101000000000001101011110110100011100101011101000001001001100111000001010100001000101101111000011011100100000000   30 faults detected
test   82: 0101101111111010100010110001110110100001100001110001100100000111010110000110010111111110000001101011100010011010110011001110010010010000110111010000001001001110111100101110011100010000010101100100001111100000000000 101001011101011111100111000010001100011101011101111011101100011100011100011100011111010011101001000001101100000000000000100000000011001111011111100001010110001000110101001011000001000001110000000111110101001011110000010000000000   19 faults detected
test   83: 1101010100110011101011000101110000010001000100111101010000010011011110110011110101111100111101110101001111001101011010101100000110110001110011100001101101101111000010010100011001100001001101111000101000100010110110 100111111011010010100011000000000001111111011101110110011001010110000111010101010011101100110010000011100110000000000000000000000010101011101110100011000101011001000001001011000110001001110010001010111000001101000101100000000000    2 faults detected
test   84: 1111011101000010110101110111111000110100001010010010001010111100010100100011110001100011010101100110100001000111010001110010011000001100000111101000111111111001110010110000100100010000101110000111110110011010011111 000011111011101001001000100000000001100111010101110111011111110100100111110111111111101101101101100000000000000000000100100000000001111111101110100011100110101001010000000000100110000001110100000111101001101010101101100000000000    4 faults detected
test   85: 1100000101000101100000100011101011110010100111000100100010011111011010011111000011011011010011011011011110101100110000010010110110110000110110001111000000101001110110110100101100100001000111010000011001101111111110 010111001011111110111111001010111001100110010111110010001001010000100111010001011010011000111001100011101010000000000010000000000000101110010111100011100101000010100101101111000100000001110000101010111101001010111011000000000000   15 faults detected
